query,hit identifier,gene,transcript,ensembl,length,bits,identities,percent_identity,e value,ensemblfamily,subfamily
TTRE_0000706901-mRNA-1 transcript=TTRE_0000706901-mRNA-1 gene=TTRE_0000706901,gnl|BL_ORD_ID|34471 ENSG00000121579|NAA50|ENST00000493900|PTHR23091_SF179,NAA50,ENST00000493900,ENSG00000121579,169,205.682,91,53.84615385,3.85E-68,PTHR23091,SF179
TTRE_0000902101-mRNA-1 transcript=TTRE_0000902101-mRNA-1 gene=TTRE_0000902101,gnl|BL_ORD_ID|184332 ENSG00000104853|CLPTM1|ENST00000541297|PTHR21347,CLPTM1,ENST00000541297,ENSG00000104853,656,225.328,113,17.22560976,3.95E-68,PTHR21347,
TTRE_0000336201-mRNA-1 transcript=TTRE_0000336201-mRNA-1 gene=TTRE_0000336201,gnl|BL_ORD_ID|35535 ENSG00000174963|ZIC4|ENST00000484399|PTHR19818_SF69,ZIC4,ENST00000484399,ENSG00000174963,335,218.394,104,31.04477612,4.09E-68,PTHR19818,SF69
TTRE_0000119601-mRNA-1 transcript=TTRE_0000119601-mRNA-1 gene=TTRE_0000119601,gnl|BL_ORD_ID|188362 ENSG00000099804|CDC34|ENST00000586283|PTHR24067_SF98,CDC34,ENST00000586283,ENSG00000099804,147,207.994,94,63.94557823,5.07E-68,PTHR24067,SF98
TTRE_0000376901-mRNA-1 transcript=TTRE_0000376901-mRNA-1 gene=TTRE_0000376901,gnl|BL_ORD_ID|49773 ENSG00000164219|PGGT1B|ENST00000419445|PTHR11774,PGGT1B,ENST00000419445,ENSG00000164219,378,218.394,113,29.89417989,5.22E-68,PTHR11774,
TTRE_0000450301-mRNA-1 transcript=TTRE_0000450301-mRNA-1 gene=TTRE_0000450301,gnl|BL_ORD_ID|45787 ENSG00000059691|GATB|ENST00000512306|PTHR11659,GATB,ENST00000512306,ENSG00000059691,358,216.853,122,34.07821229,5.29E-68,PTHR11659,
TTRE_0000818201-mRNA-1 transcript=TTRE_0000818201-mRNA-1 gene=TTRE_0000818201,gnl|BL_ORD_ID|2128 ENSG00000004455|AK2|ENST00000373449|PTHR23359_SF69,AK2,ENST00000373449,ENSG00000004455,233,209.534,101,43.34763948,5.38E-68,PTHR23359,SF69
TTRE_0000150501-mRNA-1 transcript=TTRE_0000150501-mRNA-1 gene=TTRE_0000150501,gnl|BL_ORD_ID|48448 ENSG00000145675|PIK3R1|ENST00000320694|PTHR10155_SF3,PIK3R1,ENST00000320694,ENSG00000145675,425,227.254,133,31.29411765,6.36E-68,PTHR10155,SF3
TTRE_0000086801-mRNA-1 transcript=TTRE_0000086801-mRNA-1 gene=TTRE_0000086801,gnl|BL_ORD_ID|97090 ENSG00000107485|GATA3|ENST00000346208|PTHR10071_SF106,GATA3,ENST00000346208,ENSG00000107485,444,218.394,99,22.2972973,6.86E-68,PTHR10071,SF106
TTRE_0000847201-mRNA-1 transcript=TTRE_0000847201-mRNA-1 gene=TTRE_0000847201,gnl|BL_ORD_ID|201557 ENSG00000274276|CBSL|ENST00000624406|PTHR10314_SF48,CBSL,ENST00000624406,ENSG00000274276,552,222.631,126,22.82608696,7.70E-68,PTHR10314,SF48
TTRE_0000725501-mRNA-1 transcript=TTRE_0000725501-mRNA-1 gene=TTRE_0000725501,gnl|BL_ORD_ID|80290 ENSG00000168172|HOOK3|ENST00000307602|PTHR18947_SF9,HOOK3,ENST00000307602,ENSG00000168172,719,237.654,213,29.62447844,7.83E-68,PTHR18947,SF9
TTRE_0000384801-mRNA-1 transcript=TTRE_0000384801-mRNA-1 gene=TTRE_0000384801,gnl|BL_ORD_ID|61868 ENSG00000112146|FBXO9|ENST00000370939|PTHR12874,FBXO9,ENST00000370939,ENSG00000112146,404,222.631,134,33.16831683,9.01E-68,PTHR12874,
TTRE_0000697601-mRNA-1 transcript=TTRE_0000697601-mRNA-1 gene=TTRE_0000697601,gnl|BL_ORD_ID|152079 ENSG00000127564|PKMYT1|ENST00000382240|PTHR11042_SF73,PKMYT1,ENST00000382240,ENSG00000127564,448,224.942,127,28.34821429,9.07E-68,PTHR11042,SF73
TTRE_0000661001-mRNA-1 transcript=TTRE_0000661001-mRNA-1 gene=TTRE_0000661001,gnl|BL_ORD_ID|192318 ENSG00000160014|CALM3|ENST00000596362|PTHR23050_SF155,CALM3,ENST00000596362,ENSG00000160014,150,203.756,97,64.66666667,9.33E-68,PTHR23050,SF155
TTRE_0000287701-mRNA-1 transcript=TTRE_0000287701-mRNA-1 gene=TTRE_0000287701,gnl|BL_ORD_ID|8906 ENSG00000143434|SEMA6C|ENST00000368914|PTHR11036_SF11,SEMA6C,ENST00000368914,ENSG00000143434,931,243.047,172,18.47475832,9.43E-68,PTHR11036,SF11
TTRE_0000279201-mRNA-1 transcript=TTRE_0000279201-mRNA-1 gene=TTRE_0000279201,gnl|BL_ORD_ID|67176 ENSG00000124570|SERPINB6|ENST00000645580|PTHR11461_SF69,SERPINB6,ENST00000645580,ENSG00000124570,381,219.935,143,37.5328084,9.63E-68,PTHR11461,SF69
TTRE_0000678401-mRNA-1 transcript=TTRE_0000678401-mRNA-1 gene=TTRE_0000678401,gnl|BL_ORD_ID|128255 ENSG00000110871|COQ5|ENST00000552443|PTHR10108_SF24,COQ5,ENST00000552443,ENSG00000110871,213,208.379,110,51.64319249,9.71E-68,PTHR10108,SF24
TTRE_0000657301-mRNA-1 transcript=TTRE_0000657301-mRNA-1 gene=TTRE_0000657301,gnl|BL_ORD_ID|143002 ENSG00000136425|CIB2|ENST00000258930|PTHR23056_SF22,CIB2,ENST00000258930,ENSG00000136425,188,206.838,97,51.59574468,9.79E-68,PTHR23056,SF22
TTRE_0000260901-mRNA-1 transcript=TTRE_0000260901-mRNA-1 gene=TTRE_0000260901,gnl|BL_ORD_ID|121767 ENSG00000135414|GDF11|ENST00000546799|PTHR11848_SF140,GDF11,ENST00000546799,ENSG00000135414,381,223.016,138,36.22047244,1.15E-67,PTHR11848,SF140
TTRE_0000431401-mRNA-1 transcript=TTRE_0000431401-mRNA-1 gene=TTRE_0000431401,gnl|BL_ORD_ID|74342 ENSG00000146733|PSPH|ENST00000437355|PTHR10000_SF7,PSPH,ENST00000437355,ENSG00000146733,226,209.92,101,44.69026549,1.22E-67,PTHR10000,SF7
TTRE_0000684501-mRNA-1 transcript=TTRE_0000684501-mRNA-1 gene=TTRE_0000684501,gnl|BL_ORD_ID|175297 ENSG00000092931|MFSD11|ENST00000588460|PTHR23294,MFSD11,ENST00000588460,ENSG00000092931,450,227.639,145,32.22222222,1.23E-67,PTHR23294,
TTRE_0000040801-mRNA-1 transcript=TTRE_0000040801-mRNA-1 gene=TTRE_0000040801,gnl|BL_ORD_ID|34657 ENSG00000163681|SLMAP|ENST00000657480|PTHR18889_SF8,SLMAP,ENST00000657480,ENSG00000163681,403,217.624,126,31.26550868,1.39E-67,PTHR18889,SF8
TTRE_0000813201-mRNA-1 transcript=TTRE_0000813201-mRNA-1 gene=TTRE_0000813201,gnl|BL_ORD_ID|194572 ENSG00000215305|VPS16|ENST00000380445|PTHR12811,VPS16,ENST00000380445,ENSG00000215305,840,233.802,157,18.69047619,1.54E-67,PTHR12811,
TTRE_0000049401-mRNA-1 transcript=TTRE_0000049401-mRNA-1 gene=TTRE_0000049401,gnl|BL_ORD_ID|162945 ENSG00000198863|RUNDC1|ENST00000361677|TF633601,RUNDC1,ENST00000361677,ENSG00000198863,614,231.106,181,29.47882736,1.79E-67,TF633601,
TTRE_0000236901-mRNA-1 transcript=TTRE_0000236901-mRNA-1 gene=TTRE_0000236901,gnl|BL_ORD_ID|212712 ENSG00000094841|UPRT|ENST00000530743|PTHR10285,UPRT,ENST00000530743,ENSG00000094841,174,206.068,96,55.17241379,1.79E-67,PTHR10285,
TTRE_0000788501-mRNA-1 transcript=TTRE_0000788501-mRNA-1 gene=TTRE_0000788501,gnl|BL_ORD_ID|202863 ENSG00000099899|TRMT2A|ENST00000404751|PTHR11061,TRMT2A,ENST00000404751,ENSG00000099899,563,236.113,137,24.3339254,1.84E-67,PTHR11061,
TTRE_0000474101-mRNA-1 transcript=TTRE_0000474101-mRNA-1 gene=TTRE_0000474101,gnl|BL_ORD_ID|79740 ENSG00000164651|SP8|ENST00000617581|PTHR23223_SF134,SP8,ENST00000617581,ENSG00000164651,467,215.312,93,19.9143469,1.94E-67,PTHR23223,SF134
TTRE_0000550901-mRNA-1 transcript=TTRE_0000550901-mRNA-1 gene=TTRE_0000550901,gnl|BL_ORD_ID|122777 ENSG00000023697|DERA|ENST00000526530|PTHR10889,DERA,ENST00000526530,ENSG00000023697,231,219.164,110,47.61904762,2.04E-67,PTHR10889,
TTRE_0000564601-mRNA-1 transcript=TTRE_0000564601-mRNA-1 gene=TTRE_0000564601,gnl|BL_ORD_ID|130995 ENSG00000152520|PAN3|ENST00000399613|PTHR12272,PAN3,ENST00000399613,ENSG00000152520,688,227.639,145,21.0755814,2.17E-67,PTHR12272,
TTRE_0000427301-mRNA-1 transcript=TTRE_0000427301-mRNA-1 gene=TTRE_0000427301,gnl|BL_ORD_ID|42806 ENSG00000138760|SCARB2|ENST00000640640|PTHR11923,SCARB2,ENST00000640640,ENSG00000138760,450,227.639,149,33.11111111,2.22E-67,PTHR11923,
TTRE_0000168801-mRNA-1 transcript=TTRE_0000168801-mRNA-1 gene=TTRE_0000168801,gnl|BL_ORD_ID|96702 ENSG00000107736|CDH23|ENST00000224721|PTHR24027_SF277,CDH23,ENST00000224721,ENSG00000107736,3355,256.144,551,16.42324888,2.37E-67,PTHR24027,SF277
TTRE_0000157001-mRNA-1 transcript=TTRE_0000157001-mRNA-1 gene=TTRE_0000157001,gnl|BL_ORD_ID|147599 ENSG00000156218|ADAMTSL3|ENST00000567476|PTHR13723_SF169,ADAMTSL3,ENST00000567476,ENSG00000156218,1683,249.98,224,13.30956625,2.46E-67,PTHR13723,SF169
TTRE_0000076401-mRNA-1 transcript=TTRE_0000076401-mRNA-1 gene=TTRE_0000076401,gnl|BL_ORD_ID|196403 ENSG00000101294|HM13|ENST00000466766|PTHR12174_SF23,HM13,ENST00000466766,ENSG00000101294,421,222.631,148,35.1543943,2.53E-67,PTHR12174,SF23
TTRE_0000501201-mRNA-1 transcript=TTRE_0000501201-mRNA-1 gene=TTRE_0000501201,gnl|BL_ORD_ID|7508 ENSG00000117448|AKR1A1|ENST00000621846|PTHR11732_SF192,AKR1A1,ENST00000621846,ENSG00000117448,326,232.646,130,39.87730061,2.65E-67,PTHR11732,SF192
TTRE_0000703501-mRNA-1 transcript=TTRE_0000703501-mRNA-1 gene=TTRE_0000703501,gnl|BL_ORD_ID|3626 ENSG00000134250|NOTCH2|ENST00000579475|PTHR24033_SF4,NOTCH2,ENST00000579475,ENSG00000134250,864,236.884,155,17.93981481,2.73E-67,PTHR24033,SF4
TTRE_0000040601-mRNA-1 transcript=TTRE_0000040601-mRNA-1 gene=TTRE_0000040601,gnl|BL_ORD_ID|24750 ENSG00000164087|POC1A|ENST00000296484|PTHR22847_SF319,POC1A,ENST00000296484,ENSG00000164087,408,220.32,150,36.76470588,3.12E-67,PTHR22847,SF319
TTRE_0000454901-mRNA-1 transcript=TTRE_0000454901-mRNA-1 gene=TTRE_0000454901,gnl|BL_ORD_ID|50123 ENSG00000151422|FER|ENST00000438717|PTHR24418_SF227,FER,ENST00000438717,ENSG00000151422,412,220.705,128,31.06796117,3.21E-67,PTHR24418,SF227
TTRE_0000519401-mRNA-1 transcript=TTRE_0000519401-mRNA-1 gene=TTRE_0000519401,gnl|BL_ORD_ID|113032 ENSG00000167996|FTH1|ENST00000620041|PTHR11431_SF37,FTH1,ENST00000620041,ENSG00000167996,184,204.527,99,53.80434783,3.29E-67,PTHR11431,SF37
TTRE_0000298201-mRNA-1 transcript=TTRE_0000298201-mRNA-1 gene=TTRE_0000298201,gnl|BL_ORD_ID|15633 ENSG00000143952|VPS54|ENST00000354504|PTHR12965,VPS54,ENST00000354504,ENSG00000143952,825,239.58,128,15.51515152,3.53E-67,PTHR12965,
TTRE_0000012701-mRNA-1 transcript=TTRE_0000012701-mRNA-1 gene=TTRE_0000012701,gnl|BL_ORD_ID|147758 ENSG00000128881|TTBK2|ENST00000567840|PTHR11909_SF83,TTBK2,ENST00000567840,ENSG00000128881,479,219.164,115,24.00835073,3.82E-67,PTHR11909,SF83
TTRE_0000517101-mRNA-1 transcript=TTRE_0000517101-mRNA-1 gene=TTRE_0000517101,gnl|BL_ORD_ID|155039 ENSG00000102900|NUP93|ENST00000564887|PTHR11225,NUP93,ENST00000564887,ENSG00000102900,697,235.728,164,23.52941176,3.97E-67,PTHR11225,
TTRE_0000256401-mRNA-1 transcript=TTRE_0000256401-mRNA-1 gene=TTRE_0000256401,gnl|BL_ORD_ID|143294 ENSG00000134138|MEIS2|ENST00000314177|PTHR11850_SF47,MEIS2,ENST00000314177,ENSG00000134138,303,222.246,115,37.95379538,4.23E-67,PTHR11850,SF47
TTRE_0000963701-mRNA-1 transcript=TTRE_0000963701-mRNA-1 gene=TTRE_0000963701,gnl|BL_ORD_ID|172597 ENSG00000108984|MAP2K6|ENST00000589647|PTHR24361_SF40,MAP2K6,ENST00000589647,ENSG00000108984,279,206.453,91,32.61648746,4.59E-67,PTHR24361,SF40
TTRE_0000830201-mRNA-1 transcript=TTRE_0000830201-mRNA-1 gene=TTRE_0000830201,gnl|BL_ORD_ID|154064 ENSG00000182149|IST1|ENST00000534994|PTHR12161,IST1,ENST00000534994,ENSG00000182149,206,209.92,100,48.54368932,5.72E-67,PTHR12161,
TTRE_0000254701-mRNA-1 transcript=TTRE_0000254701-mRNA-1 gene=TTRE_0000254701,gnl|BL_ORD_ID|88609 ENSG00000156469|MTERF3|ENST00000522822|TF605146,MTERF3,ENST00000522822,ENSG00000156469,297,213.386,98,32.996633,6.01E-67,TF605146,
TTRE_0000193501-mRNA-1 transcript=TTRE_0000193501-mRNA-1 gene=TTRE_0000193501,gnl|BL_ORD_ID|40092 ENSG00000169026|SLC49A3|ENST00000503156|PTHR10924,SLC49A3,ENST00000503156,ENSG00000169026,421,223.402,131,31.11638955,6.28E-67,PTHR10924,
TTRE_0000840301-mRNA-1 transcript=TTRE_0000840301-mRNA-1 gene=TTRE_0000840301,gnl|BL_ORD_ID|28804 ENSG00000144559|TAMM41|ENST00000455809|PTHR13619,TAMM41,ENST00000455809,ENSG00000144559,338,219.55,126,37.27810651,7.56E-67,PTHR13619,
TTRE_0000280901-mRNA-1 transcript=TTRE_0000280901-mRNA-1 gene=TTRE_0000280901,gnl|BL_ORD_ID|98093 ENSG00000155287|SLC25A28|ENST00000434701|PTHR24089_SF205,SLC25A28,ENST00000434701,ENSG00000155287,226,209.534,105,46.46017699,8.01E-67,PTHR24089,SF205
TTRE_0000427001-mRNA-1 transcript=TTRE_0000427001-mRNA-1 gene=TTRE_0000427001,gnl|BL_ORD_ID|173384 ENSG00000278845|MRPL45|ENST00000613675|TF105825,MRPL45,ENST00000613675,ENSG00000278845,307,213.001,106,34.5276873,8.20E-67,TF105825,
TTRE_0000026701-mRNA-1 transcript=TTRE_0000026701-mRNA-1 gene=TTRE_0000026701,gnl|BL_ORD_ID|39253 ENSG00000145451|GLRA3|ENST00000340217|PTHR18945_SF455,GLRA3,ENST00000340217,ENSG00000145451,450,222.246,135,30,8.21E-67,PTHR18945,SF455
TTRE_0000589301-mRNA-1 transcript=TTRE_0000589301-mRNA-1 gene=TTRE_0000589301,gnl|BL_ORD_ID|189178 ENSG00000105379|ETFB|ENST00000596253|PTHR21294,ETFB,ENST00000596253,ENSG00000105379,178,214.157,116,65.16853933,8.81E-67,PTHR21294,
TTRE_0000411901-mRNA-1 transcript=TTRE_0000411901-mRNA-1 gene=TTRE_0000411901,gnl|BL_ORD_ID|117762 ENSG00000166387|PPFIBP2|ENST00000533792|PTHR12587,PPFIBP2,ENST00000533792,ENSG00000166387,719,241.121,131,18.21974965,9.85E-67,PTHR12587,
TTRE_0000397301-mRNA-1 transcript=TTRE_0000397301-mRNA-1 gene=TTRE_0000397301,gnl|BL_ORD_ID|169902 ENSG00000132507|EIF5A|ENST00000573542|PTHR11673,EIF5A,ENST00000573542,ENSG00000132507,155,201.06,103,66.4516129,1.04E-66,PTHR11673,
TTRE_0000406401-mRNA-1 transcript=TTRE_0000406401-mRNA-1 gene=TTRE_0000406401,gnl|BL_ORD_ID|109859 ENSG00000149182|ARFGAP2|ENST00000525398|PTHR23180_SF194,ARFGAP2,ENST00000525398,ENSG00000149182,327,216.468,137,41.89602446,1.07E-66,PTHR23180,SF194
TTRE_0000379701-mRNA-1 transcript=TTRE_0000379701-mRNA-1 gene=TTRE_0000379701,gnl|BL_ORD_ID|107434 ENSG00000110172|CHORDC1|ENST00000457199|PTHR12621_SF9,CHORDC1,ENST00000457199,ENSG00000110172,314,211.846,120,38.21656051,1.09E-66,PTHR12621,SF9
TTRE_0000871201-mRNA-1 transcript=TTRE_0000871201-mRNA-1 gene=TTRE_0000871201,gnl|BL_ORD_ID|162004 ENSG00000090863|GLG1|ENST00000627032|PTHR11884,GLG1,ENST00000627032,ENSG00000090863,699,224.557,110,15.73676681,1.13E-66,PTHR11884,
TTRE_0000899401-mRNA-1 transcript=TTRE_0000899401-mRNA-1 gene=TTRE_0000899401,gnl|BL_ORD_ID|176171 ENSG00000166401|SERPINB8|ENST00000397985|PTHR11461_SF135,SERPINB8,ENST00000397985,ENSG00000166401,375,217.624,139,37.06666667,1.16E-66,PTHR11461,SF135
TTRE_0000777101-mRNA-1 transcript=TTRE_0000777101-mRNA-1 gene=TTRE_0000777101,gnl|BL_ORD_ID|174686 ENSG00000108578|BLMH|ENST00000581037|PTHR10363,BLMH,ENST00000581037,ENSG00000108578,263,215.312,103,39.1634981,1.21E-66,PTHR10363,
TTRE_0000647601-mRNA-1 transcript=TTRE_0000647601-mRNA-1 gene=TTRE_0000647601,gnl|BL_ORD_ID|4423 ENSG00000043514|TRIT1|ENST00000462797|PTHR11088_SF25,TRIT1,ENST00000462797,ENSG00000043514,350,216.468,127,36.28571429,1.46E-66,PTHR11088,SF25
TTRE_0000121101-mRNA-1 transcript=TTRE_0000121101-mRNA-1 gene=TTRE_0000121101,gnl|BL_ORD_ID|7940 ENSG00000160785|SLC25A44|ENST00000359511|PTHR24089_SF41,SLC25A44,ENST00000359511,ENSG00000160785,315,213.772,131,41.58730159,1.83E-66,PTHR24089,SF41
TTRE_0000048301-mRNA-1 transcript=TTRE_0000048301-mRNA-1 gene=TTRE_0000048301,gnl|BL_ORD_ID|70383 ENSG00000198898|CAPZA2|ENST00000361183|PTHR10653,CAPZA2,ENST00000361183,ENSG00000198898,287,209.92,107,37.28222997,1.86E-66,PTHR10653,
TTRE_0000801201-mRNA-1 transcript=TTRE_0000801201-mRNA-1 gene=TTRE_0000801201,gnl|BL_ORD_ID|19869 ENSG00000123992|DNPEP|ENST00000520694|TF600024,DNPEP,ENST00000520694,ENSG00000123992,472,217.238,120,25.42372881,2.00E-66,TF600024,
TTRE_0000949701-mRNA-1 transcript=TTRE_0000949701-mRNA-1 gene=TTRE_0000949701,gnl|BL_ORD_ID|32407 ENSG00000114098|ARMC8|ENST00000485396|PTHR15651,ARMC8,ENST00000485396,ENSG00000114098,601,219.935,117,19.46755408,2.01E-66,PTHR15651,
TTRE_0000467301-mRNA-1 transcript=TTRE_0000467301-mRNA-1 gene=TTRE_0000467301,gnl|BL_ORD_ID|207412 ENSG00000156709|AIFM1|ENST00000346424|PTHR22912_SF33,AIFM1,ENST00000346424,ENSG00000156709,327,220.705,118,36.08562691,2.06E-66,PTHR22912,SF33
TTRE_0000351201-mRNA-1 transcript=TTRE_0000351201-mRNA-1 gene=TTRE_0000351201,gnl|BL_ORD_ID|79506 ENSG00000127946|HIP1|ENST00000616821|PTHR10407,HIP1,ENST00000616821,ENSG00000127946,1009,235.728,131,12.98315164,2.19E-66,PTHR10407,
TTRE_0000216901-mRNA-1 transcript=TTRE_0000216901-mRNA-1 gene=TTRE_0000216901,gnl|BL_ORD_ID|14136 ENSG00000114988|LMAN2L|ENST00000264963|PTHR12223_SF20,LMAN2L,ENST00000264963,ENSG00000114988,349,230.72,120,34.38395415,2.23E-66,PTHR12223,SF20
TTRE_0000301501-mRNA-1 transcript=TTRE_0000301501-mRNA-1 gene=TTRE_0000301501,gnl|BL_ORD_ID|25424 ENSG00000174640|SLCO2A1|ENST00000310926|PTHR11388,SLCO2A1,ENST00000310926,ENSG00000174640,644,230.335,183,28.41614907,2.29E-66,PTHR11388,
TTRE_0000307601-mRNA-1 transcript=TTRE_0000307601-mRNA-1 gene=TTRE_0000307601,gnl|BL_ORD_ID|25794 ENSG00000163938|GNL3|ENST00000394799|PTHR11089_SF11,GNL3,ENST00000394799,ENSG00000163938,538,225.328,155,28.81040892,2.57E-66,PTHR11089,SF11
TTRE_0000543201-mRNA-1 transcript=TTRE_0000543201-mRNA-1 gene=TTRE_0000543201,gnl|BL_ORD_ID|143155 ENSG00000166825|ANPEP|ENST00000300060|PTHR11533_SF149,ANPEP,ENST00000300060,ENSG00000166825,968,242.276,229,23.65702479,2.68E-66,PTHR11533,SF149
TTRE_0000180501-mRNA-1 transcript=TTRE_0000180501-mRNA-1 gene=TTRE_0000180501,gnl|BL_ORD_ID|189475 ENSG00000181029|TRAPPC5|ENST00000596148|PTHR20902,TRAPPC5,ENST00000596148,ENSG00000181029,189,202.216,88,46.56084656,3.29E-66,PTHR20902,
TTRE_0000059401-mRNA-1 transcript=TTRE_0000059401-mRNA-1 gene=TTRE_0000059401,gnl|BL_ORD_ID|101535 ENSG00000148824|MTG1|ENST00000477902|PTHR11089_SF4,MTG1,ENST00000477902,ENSG00000148824,294,211.075,126,42.85714286,3.34E-66,PTHR11089,SF4
TTRE_0000005601-mRNA-1 transcript=TTRE_0000005601-mRNA-1 gene=TTRE_0000005601,gnl|BL_ORD_ID|15566 ENSG00000172954|LCLAT1|ENST00000379509|PTHR10983,LCLAT1,ENST00000379509,ENSG00000172954,377,213.772,115,30.50397878,3.66E-66,PTHR10983,
TTRE_0000865301-mRNA-1 transcript=TTRE_0000865301-mRNA-1 gene=TTRE_0000865301,gnl|BL_ORD_ID|68957 ENSG00000124570|SERPINB6|ENST00000644388|PTHR11461_SF69,SERPINB6,ENST00000644388,ENSG00000124570,377,218.779,148,39.25729443,4.22E-66,PTHR11461,SF69
TTRE_0000459901-mRNA-1 transcript=TTRE_0000459901-mRNA-1 gene=TTRE_0000459901,gnl|BL_ORD_ID|15443 ENSG00000114942|EEF1B2|ENST00000392221|PTHR11595,EEF1B2,ENST00000392221,ENSG00000114942,226,204.527,116,51.32743363,4.30E-66,PTHR11595,
TTRE_0000266501-mRNA-1 transcript=TTRE_0000266501-mRNA-1 gene=TTRE_0000266501,gnl|BL_ORD_ID|181228 ENSG00000176619|LMNB2|ENST00000325327|PTHR23239_SF152,LMNB2,ENST00000325327,ENSG00000176619,621,228.794,181,29.14653784,4.56E-66,PTHR23239,SF152
TTRE_0000601101-mRNA-1 transcript=TTRE_0000601101-mRNA-1 gene=TTRE_0000601101,gnl|BL_ORD_ID|40029 ENSG00000109736|MFSD10|ENST00000355443|PTHR24003_SF438,MFSD10,ENST00000355443,ENSG00000109736,456,215.698,136,29.8245614,4.62E-66,PTHR24003,SF438
TTRE_0000010801-mRNA-1 transcript=TTRE_0000010801-mRNA-1 gene=TTRE_0000010801,gnl|BL_ORD_ID|134992 ENSG00000171723|GPHN|ENST00000315266|PTHR10192_SF5,GPHN,ENST00000315266,ENSG00000171723,737,223.016,124,16.82496608,4.67E-66,PTHR10192,SF5
TTRE_0000063401-mRNA-1 transcript=TTRE_0000063401-mRNA-1 gene=TTRE_0000063401,gnl|BL_ORD_ID|79864 ENSG00000019549|SNAI2|ENST00000020945|PTHR11389_SF400,SNAI2,ENST00000020945,ENSG00000019549,269,217.624,101,37.5464684,4.85E-66,PTHR11389,SF400
TTRE_0000306401-mRNA-1 transcript=TTRE_0000306401-mRNA-1 gene=TTRE_0000306401,gnl|BL_ORD_ID|11165 ENSG00000174371|EXO1|ENST00000518483|PTHR11081_SF8,EXO1,ENST00000518483,ENSG00000174371,804,224.172,136,16.91542289,4.89E-66,PTHR11081,SF8
TTRE_0000106501-mRNA-1 transcript=TTRE_0000106501-mRNA-1 gene=TTRE_0000106501,gnl|BL_ORD_ID|87777 ENSG00000184489|PTP4A3|ENST00000521578|PTHR23339_SF57,PTP4A3,ENST00000521578,ENSG00000184489,174,202.601,99,56.89655172,4.90E-66,PTHR23339,SF57
TTRE_0000090701-mRNA-1 transcript=TTRE_0000090701-mRNA-1 gene=TTRE_0000090701,gnl|BL_ORD_ID|90291 ENSG00000136824|SMC2|ENST00000374793|PTHR18937_SF9,SMC2,ENST00000374793,ENSG00000136824,1198,234.187,143,11.93656093,5.02E-66,PTHR18937,SF9
TTRE_0000144901-mRNA-1 transcript=TTRE_0000144901-mRNA-1 gene=TTRE_0000144901,gnl|BL_ORD_ID|208244 ENSG00000126768|TIMM17B|ENST00000376582|PTHR10485,TIMM17B,ENST00000376582,ENSG00000126768,173,202.216,99,57.22543353,5.05E-66,PTHR10485,
TTRE_0000075301-mRNA-1 transcript=TTRE_0000075301-mRNA-1 gene=TTRE_0000075301,gnl|BL_ORD_ID|135268 ENSG00000100605|ITPK1|ENST00000354313|PTHR14217,ITPK1,ENST00000354313,ENSG00000100605,315,215.312,114,36.19047619,5.16E-66,PTHR14217,
TTRE_0000245101-mRNA-1 transcript=TTRE_0000245101-mRNA-1 gene=TTRE_0000245101,gnl|BL_ORD_ID|132070 ENSG00000213995|NAXD|ENST00000424185|PTHR12592,NAXD,ENST00000424185,ENSG00000213995,238,208.764,100,42.01680672,5.17E-66,PTHR12592,
TTRE_0000144101-mRNA-1 transcript=TTRE_0000144101-mRNA-1 gene=TTRE_0000144101,gnl|BL_ORD_ID|95145 ENSG00000107130|NCS1|ENST00000630865|PTHR23055_SF64,NCS1,ENST00000630865,ENSG00000107130,173,201.06,98,56.64739884,7.18E-66,PTHR23055,SF64
TTRE_0000683501-mRNA-1 transcript=TTRE_0000683501-mRNA-1 gene=TTRE_0000683501,gnl|BL_ORD_ID|117924 ENSG00000111229|ARPC3|ENST00000228825|PTHR12391,ARPC3,ENST00000228825,ENSG00000111229,179,199.519,95,53.0726257,7.72E-66,PTHR12391,
TTRE_0000854201-mRNA-1 transcript=TTRE_0000854201-mRNA-1 gene=TTRE_0000854201,gnl|BL_ORD_ID|119799 ENSG00000110871|COQ5|ENST00000445328|PTHR10108_SF24,COQ5,ENST00000445328,ENSG00000110871,254,207.223,109,42.91338583,8.37E-66,PTHR10108,SF24
TTRE_0000603501-mRNA-1 transcript=TTRE_0000603501-mRNA-1 gene=TTRE_0000603501,gnl|BL_ORD_ID|192188 ENSG00000105193|RPS16|ENST00000601655|PTHR21569_SF4,RPS16,ENST00000601655,ENSG00000105193,130,197.978,104,80,8.58E-66,PTHR21569,SF4
TTRE_0000081201-mRNA-1 transcript=TTRE_0000081201-mRNA-1 gene=TTRE_0000081201,gnl|BL_ORD_ID|129410 ENSG00000187778|MCRS1|ENST00000550165|PTHR13233,MCRS1,ENST00000550165,ENSG00000187778,463,218.394,125,26.99784017,1.16E-65,PTHR13233,
TTRE_0000210701-mRNA-1 transcript=TTRE_0000210701-mRNA-1 gene=TTRE_0000210701,gnl|BL_ORD_ID|85406 ENSG00000147481|SNTG1|ENST00000642164|PTHR10554,SNTG1,ENST00000642164,ENSG00000147481,473,222.631,143,30.23255814,1.17E-65,PTHR10554,
